Day,Volume,,,,,
8/18/2021,884,,,,,
8/19/2021,1006,,,,,
8/20/2021,577,,,,,
8/21/2021,360,,,,,
8/22/2021,842,,,,,
8/23/2021,1481,,,,,
8/24/2021,1552,,,,,
8/25/2021,189,,,,,
8/26/2021,374,,,,,
8/27/2021,269,,,,,
8/28/2021,238,,,,,
8/29/2021,249,,,,,
8/30/2021,1366,,,,,
8/31/2021,1331,,,,,
9/1/2021,1814,,,,,
9/2/2021,1264,,,,,
9/3/2021,2857,,,,,
9/4/2021,290,,,,,
9/5/2021,964,,,,,
9/6/2021,1557,,,,,
9/7/2021,558,,,,,
9/8/2021,633,,,,,
9/9/2021,922,,,,,
9/10/2021,472,,,,,
9/11/2021,996,,,,,
9/12/2021,951,,,,,
9/13/2021,662,,,,,
9/14/2021,1682,,,,,
9/15/2021,416,,,,,
9/16/2021,419,,,,,
9/17/2021,588,,,,,
9/18/2021,388,,,,,
9/19/2021,376,,,,,
9/20/2021,935,,,,,
9/21/2021,2004,,,,,
9/22/2021,1493,,,,,
9/23/2021,1025,,,,,
9/24/2021,723,,,,,
9/25/2021,842,,,,,
9/26/2021,777,,,,,
9/27/2021,785,,,,,
9/28/2021,644,,,,,
9/29/2021,1351,,,,,
9/30/2021,1597,,,,,
10/1/2021,2027,,,,,
10/2/2021,691,,,,,
10/3/2021,615,,,,,
10/4/2021,1046,,,,,
10/5/2021,866,,,,,
10/6/2021,521,,,,,
10/7/2021,1482,,,,,
10/8/2021,790,,,,,
10/9/2021,710,,,,,
10/10/2021,1026,,,,,
10/11/2021,665,,,,,
10/12/2021,569,,,,,
10/13/2021,1639,,,,,
10/14/2021,1442,,,,,
10/15/2021,869,,,,,
10/16/2021,381,,,,,
10/17/2021,985,,,,,
10/18/2021,1076,,,,,
10/19/2021,2732,,,,,
10/20/2021,1499,,,,,
10/21/2021,1242,,,,,
10/22/2021,672,,,,,
10/23/2021,557,,,,,
10/24/2021,524,,,,,
10/25/2021,274,,,,,
10/26/2021,374,,,,,
10/27/2021,525,,,,,
10/28/2021,505,,,,,
10/29/2021,511,,,,,
10/30/2021,677,,,,,
10/31/2021,277,,,,,
11/1/2021,1818,,,,,
11/2/2021,1699,,,,,
11/3/2021,1276,,,,,
11/4/2021,754,,,,,
11/5/2021,295,,,,,
11/6/2021,205,,,,,
11/7/2021,862,,,,,
11/8/2021,518,,,,,
11/9/2021,661,,,,,
11/10/2021,196,,,,,
11/11/2021,235,,,,,
11/12/2021,422,,,,,
11/13/2021,427,,,,,
11/14/2021,231,,,,,
11/15/2021,281,,,,,
11/16/2021,414,,,,,
11/17/2021,855,,,,,
11/18/2021,1174,,,,,
11/19/2021,512,,,,,
11/20/2021,706,,,,,
11/21/2021,363,,,,,
11/22/2021,451,,,,,
11/23/2021,684,,,,,
11/24/2021,292,,,,,
11/25/2021,488,,,,,
11/26/2021,161,,,,,
11/27/2021,204,,,,,
11/28/2021,208,,,,,
11/29/2021,851,,,,,
11/30/2021,580,,,,,
12/1/2021,195,,,,,
12/2/2021,505,,,,,
12/3/2021,92,,,,,
12/4/2021,262,,,,,
12/5/2021,130,,,,,
12/6/2021,141,,,,,
12/7/2021,173,,,,,
12/8/2021,227,,,,,
12/9/2021,287,,,,,
12/10/2021,428,,,,,
12/11/2021,281,,,,,
12/12/2021,567,,,,,
12/13/2021,252,,,,,
12/14/2021,131,,,,,
12/15/2021,842,,,,,
12/16/2021,794,,,,,
12/17/2021,236,,,,,
12/18/2021,464,,,,,
12/19/2021,882,,,,,
12/20/2021,583,,,,,
12/21/2021,290,,,,,
12/22/2021,278,,,,,
12/23/2021,236,,,,,
12/24/2021,398,,,,,
12/25/2021,329,,,,,
12/26/2021,249,,,,,
12/27/2021,281,,,,,
12/28/2021,325,,,,,
12/29/2021,649,,,,,
12/30/2021,268,,,,,
12/31/2021,239,,,,,
1/1/2022,749,,,,,
1/2/2022,212,,,,,
1/3/2022,349,,,,,
1/4/2022,238,,,,,
1/5/2022,348,,,,,
1/6/2022,664,,,,,
1/7/2022,607,,,,,
1/8/2022,563,,,,,
1/9/2022,459,,,,,
1/10/2022,1273,,,,,
1/11/2022,1484,,,,,
1/12/2022,1005,,,,,
1/13/2022,837,,,,,
1/14/2022,755,,,,,
1/15/2022,416,,,,,
1/16/2022,326,,,,,
1/17/2022,428,,,,,
1/18/2022,258,,,,,
1/19/2022,335,,,,,
1/20/2022,937,,,,,
1/21/2022,216,,,,,
1/22/2022,303,,,,,
1/23/2022,402,,,,,
1/24/2022,499,,,,,
1/25/2022,245,,,,,
1/26/2022,582,,,,,
1/27/2022,1383,,,,,
1/28/2022,650,,,,,
1/29/2022,279,,,,,
1/30/2022,230,,,,,
1/31/2022,351,,,,,
2/1/2022,595,,,,,
2/2/2022,731,,,,,
2/3/2022,371,,,,,
2/4/2022,872,,,,,
2/5/2022,618,,,,,
2/6/2022,691,,,,,
2/7/2022,490,,,,,
2/8/2022,651,,,,,
2/9/2022,488,,,,,
2/10/2022,640,,,,,
2/11/2022,595,,,,,
2/12/2022,399,,,,,
2/13/2022,495,,,,,
2/14/2022,651,,,,,
2/15/2022,752,,,,,
2/16/2022,1295,,,,,
2/17/2022,1433,,,,,
2/18/2022,715,,,,,
2/19/2022,825,,,,,
2/20/2022,279,,,,,
2/21/2022,530,,,,,
2/22/2022,198,,,,,
2/23/2022,216,,,,,
2/24/2022,219,,,,,
2/25/2022,196,,,,,
2/26/2022,294,,,,,
2/27/2022,125,,,,,
2/28/2022,187,,,,,
3/1/2022,285,,,,,
3/2/2022,1221,,,,,
3/3/2022,520,,,,,
3/4/2022,337,,,,,
3/5/2022,210,,,,,
3/6/2022,1296,,,,,
3/7/2022,526,,,,,
3/8/2022,306,,,,,
3/9/2022,1664,,,,,
3/10/2022,408,,,,,
3/11/2022,448,,,,,
3/12/2022,224,,,,,
3/13/2022,294,,,,,
3/14/2022,471,,,,,
3/15/2022,698,,,,,
3/16/2022,670,,,,,
3/17/2022,437,,,,,
3/18/2022,497,,,,,
3/19/2022,565,,,,,
3/20/2022,299,,,,,
3/21/2022,1053,,,,,
3/22/2022,142,,,,,
3/23/2022,274,,,,,
3/24/2022,268,,,,,
3/25/2022,542,,,,,
3/26/2022,1640,,,,,
3/27/2022,1371,,,,,
3/28/2022,621,,,,,
3/29/2022,477,,,,,
3/30/2022,347,,,,,
3/31/2022,546,,,,,
4/1/2022,517,,,,,
4/2/2022,299,,,,,
4/3/2022,466,,,,,
4/4/2022,336,,,,,
4/5/2022,541,,,,,
4/6/2022,566,,,,,
4/7/2022,1064,,,,,
4/8/2022,428,,,,,
4/9/2022,615,,,,,
4/10/2022,447,,,,,
4/11/2022,471,,,,,
4/12/2022,727,,,,,
4/13/2022,786,,,,,
4/14/2022,534,,,,,
4/15/2022,498,,,,,
4/16/2022,752,,,,,
4/17/2022,1843,,,,,
4/18/2022,1363,,,,,
4/19/2022,2567,,,,,
4/20/2022,1378,,,,,
4/21/2022,2707,,,,,
4/22/2022,1116,,,,,
4/23/2022,659,,,,,
4/24/2022,1034,,,,,
4/25/2022,1354,,,,,
4/26/2022,557,,,,,
4/27/2022,436,,,,,
4/28/2022,947,,,,,
4/29/2022,478,,,,,
4/30/2022,428,,,,,
5/1/2022,468,,,,,
5/2/2022,823,,,,,
5/3/2022,652,,,,,
5/4/2022,637,,,,,
5/5/2022,440,,,,,
5/6/2022,809,,,,,
5/7/2022,715,,,,,
5/8/2022,534,,,,,
5/9/2022,468,,,,,
5/10/2022,355,,,,,
5/11/2022,888,,,,,
5/12/2022,481,,,,,
5/13/2022,348,,,,,
5/14/2022,106,,,,,
5/15/2022,189,,,,,
5/16/2022,169,,,,,
5/17/2022,396,,,,,
5/18/2022,368,,,,,
5/19/2022,662,,,,,
5/20/2022,185,,,,,
5/21/2022,909,,,,,
5/22/2022,170,,,,,
5/23/2022,179,,,,,
5/24/2022,884,,,,,
5/25/2022,172,,,,,
5/26/2022,373,,,,,
5/27/2022,189,,,,,
5/28/2022,40,,,,,
5/29/2022,126,,,,,
5/30/2022,217,,,,,
5/31/2022,270,,,,,
6/1/2022,320,,,,,
6/2/2022,262,,,,,
6/3/2022,218,,,,,
6/4/2022,308,,,,,
6/5/2022,269,,,,,
6/6/2022,416,,,,,
6/7/2022,475,,,,,
6/8/2022,772,,,,,
6/9/2022,692,,,,,
6/10/2022,856,,,,,
6/11/2022,1671,,,,,
6/12/2022,412,,,,,
6/13/2022,1347,,,,,
6/14/2022,372,,,,,
6/15/2022,981,,,,,
6/16/2022,195,,,,,
6/17/2022,193,,,,,
6/18/2022,346,,,,,
6/19/2022,534,,,,,
6/20/2022,1247,,,,,
6/21/2022,486,,,,,
6/22/2022,462,,,,,
6/23/2022,731,,,,,
6/24/2022,1115,,,,,
6/25/2022,203,,,,,
6/26/2022,1097,,,,,
6/27/2022,879,,,,,
6/28/2022,364,,,,,
6/29/2022,486,,,,,
6/30/2022,262,,,,,
7/1/2022,365,,,,,
7/2/2022,348,,,,,
7/3/2022,330,,,,,
7/4/2022,217,,,,,
7/5/2022,208,,,,,
7/6/2022,738,,,,,
7/7/2022,405,,,,,
7/8/2022,786,,,,,
7/9/2022,485,,,,,
7/10/2022,329,,,,,
7/11/2022,296,,,,,
7/12/2022,453,,,,,
7/13/2022,619,,,,,
7/14/2022,270,,,,,
7/15/2022,271,,,,,
7/16/2022,235,,,,,
7/17/2022,176,,,,,
7/18/2022,198,,,,,
7/19/2022,188,,,,,
7/20/2022,277,,,,,
7/21/2022,246,,,,,
7/22/2022,800,,,,,
7/23/2022,150,,,,,
7/24/2022,210,,,,,
7/25/2022,750,,,,,
7/26/2022,235,,,,,
7/27/2022,223,,,,,
7/28/2022,172,,,,,
7/29/2022,307,,,,,
7/30/2022,194,,,,,
7/31/2022,144,,,,,
8/1/2022,354,,,,,
8/2/2022,65,,,,,
8/3/2022,224,,,,,
8/4/2022,97,,,,,
8/5/2022,109,,,,,
8/6/2022,87,,,,,
8/7/2022,228,,,,,
8/8/2022,546,,,,,
8/9/2022,247,,,,,
8/10/2022,77,,,,,
8/11/2022,358,,,,,
8/12/2022,76,,,,,
8/13/2022,384,,,,,
8/14/2022,120,,,,,
8/15/2022,129,,,,,
8/16/2022,165,,,,,
8/17/2022,145,,,,,
8/18/2022,1116,,,,,
8/19/2022,89,,,,,
8/20/2022,991,,,,,
8/21/2022,158,,,,,
8/22/2022,257,,,,,
8/23/2022,261,,,,,
8/24/2022,198,,,,,
8/25/2022,249,,,,,
8/26/2022,129,,,,,
8/27/2022,75,,,,,
8/28/2022,97,,,,,
8/29/2022,53,,,,,
8/30/2022,62,,,,,
8/31/2022,69,,,,,
9/1/2022,94,,,,,
9/2/2022,285,,,,,
9/3/2022,103,,,,,
9/4/2022,93,,,,,
9/5/2022,85,,,,,
9/6/2022,136,,,,,
9/7/2022,399,,,,,
9/8/2022,146,,,,,
9/9/2022,110,,,,,
9/10/2022,66,,,,,
9/11/2022,101,,,,,
9/12/2022,128,,,,,
9/13/2022,309,,,,,
9/14/2022,179,,,,,
9/15/2022,183,,,,,
9/16/2022,127,,,,,
9/17/2022,128,,,,,
9/18/2022,126,,,,,
9/19/2022,367,,,,,
9/20/2022,441,,,,,
9/21/2022,339,,,,,
9/22/2022,281,,,,,
9/23/2022,189,,,,,
9/24/2022,389,,,,,
9/25/2022,351,,,,,
9/26/2022,288,,,,,
9/27/2022,231,,,,,
9/28/2022,625,,,,,
9/29/2022,352,,,,,
9/30/2022,713,,,,,
10/1/2022,171,,,,,
10/2/2022,283,,,,,
10/3/2022,497,,,,,
10/4/2022,377,,,,,
10/5/2022,425,,,,,
10/6/2022,345,,,,,
10/7/2022,355,,,,,
10/8/2022,985,,,,,
10/9/2022,273,,,,,
10/10/2022,231,,,,,
10/11/2022,269,,,,,
10/12/2022,233,,,,,
10/13/2022,239,,,,,
10/14/2022,114,,,,,
10/15/2022,157,,,,,
10/16/2022,71,,,,,
10/17/2022,1174,,,,,
10/18/2022,692,,,,,
10/19/2022,1255,,,,,
10/20/2022,519,,,,,
10/21/2022,139,,,,,
10/22/2022,684,,,,,
10/23/2022,605,,,,,
10/24/2022,311,,,,,
10/25/2022,559,,,,,
10/26/2022,400,,,,,
10/27/2022,328,,,,,
10/28/2022,366,,,,,
10/29/2022,47,,,,,
10/30/2022,201,,,,,
10/31/2022,146,,,,,
11/1/2022,457,,,,,
11/2/2022,79,,,,,
11/3/2022,247,,,,,
11/4/2022,184,,,,,
11/5/2022,112,,,,,
11/6/2022,94,,,,,
11/7/2022,105,,,,,
11/8/2022,228,,,,,
11/9/2022,242,,,,,
11/10/2022,194,,,,,
11/11/2022,82,,,,,
11/12/2022,547,,,,,
11/13/2022,231,,,,,
11/14/2022,204,,,,,
11/15/2022,104,,,,,
11/16/2022,206,,,,,
11/17/2022,93,,,,,
11/18/2022,77,,,,,
11/19/2022,60,,,,,
11/20/2022,39,,,,,
11/21/2022,117,,,,,
11/22/2022,89,,,,,
11/23/2022,84,,,,,
11/24/2022,180,,,,,
11/25/2022,150,,,,,
11/26/2022,170,,,,,
11/27/2022,96,,,,,
11/28/2022,349,,,,,
11/29/2022,246,,,,,
11/30/2022,124,,,,,
12/1/2022,136,,,,,
12/2/2022,950,,,,,
12/3/2022,744,,,,,
12/4/2022,873,,,,,
12/5/2022,285,,,,,
12/6/2022,289,,,,,
12/7/2022,292,,,,,
12/8/2022,494,,,,,
12/9/2022,234,,,,,
12/10/2022,294,,,,,
12/11/2022,217,,,,,
12/12/2022,288,,,,,
12/13/2022,248,,,,,
12/14/2022,104,,,,,
12/15/2022,404,,,,,
12/16/2022,85,,,,,
12/17/2022,297,,,,,
12/18/2022,101,,,,,
12/19/2022,742,,,,,
12/20/2022,1559,,,,,
12/21/2022,720,,,,,
12/22/2022,433,,,,,
12/23/2022,241,,,,,
12/24/2022,107,,,,,
12/25/2022,204,,,,,
12/26/2022,141,,,,,
12/27/2022,484,,,,,
12/28/2022,164,,,,,
12/29/2022,262,,,,,
12/30/2022,101,,,,,
12/31/2022,212,,,,,
1/1/2023,155,,,,,
1/2/2023,217,,,,,
1/3/2023,46,,,,,
1/4/2023,116,,,,,
1/5/2023,140,,,,,
1/6/2023,157,,,,,
1/7/2023,100,,,,,
1/8/2023,118,,,,,
1/9/2023,121,,,,,
1/10/2023,608,,,,,
1/11/2023,130,,,,,
1/12/2023,239,,,,,
1/13/2023,226,,,,,
1/14/2023,186,,,,,
1/15/2023,432,,,,,
1/16/2023,150,,,,,
1/17/2023,144,,,,,
1/18/2023,131,,,,,
1/19/2023,156,,,,,
1/20/2023,1099,,,,,
1/21/2023,2051,,,,,
1/22/2023,231,,,,,
1/23/2023,415,,,,,
1/24/2023,266,,,,,
1/25/2023,122,,,,,
1/26/2023,1053,,,,,
1/27/2023,147,,,,,
1/28/2023,285,,,,,
1/29/2023,370,,,,,
1/30/2023,225,,,,,
1/31/2023,196,,,,,
2/1/2023,265,,,,,
2/2/2023,352,,,,,
2/3/2023,120,,,,,
2/4/2023,125,,,,,
2/5/2023,295,,,,,
2/6/2023,276,,,,,
2/7/2023,91,,,,,
2/8/2023,114,,,,,
2/9/2023,404,,,,,
2/10/2023,98,,,,,
2/11/2023,136,,,,,
2/12/2023,593,,,,,
2/13/2023,271,,,,,
2/14/2023,149,,,,,
2/15/2023,458,,,,,
2/16/2023,562,,,,,
2/17/2023,132,,,,,
2/18/2023,191,,,,,
2/19/2023,293,,,,,
2/20/2023,96,,,,,
2/21/2023,95,,,,,
2/22/2023,196,,,,,
2/23/2023,114,,,,,
2/24/2023,191,,,,,
2/25/2023,96,,,,,
2/26/2023,181,,,,,
2/27/2023,125,,,,,
2/28/2023,106,,,,,
3/1/2023,174,,,,,
3/2/2023,218,,,,,
3/3/2023,149,,,,,
3/4/2023,122,,,,,
3/5/2023,247,,,,,
3/6/2023,233,,,,,
3/7/2023,177,,,,,
3/8/2023,246,,,,,
3/9/2023,84,,,,,
3/10/2023,275,,,,,
3/11/2023,362,,,,,
3/12/2023,154,,,,,
3/13/2023,95,,,,,
3/14/2023,65,,,,,
3/15/2023,143,,,,,
3/16/2023,182,,,,,
3/17/2023,216,,,,,
3/18/2023,47,,,,,
3/19/2023,75,,,,,
3/20/2023,91,,,,,
3/21/2023,75,,,,,
3/22/2023,81,,,,,
3/23/2023,113,,,,,
3/24/2023,131,,,,,
3/25/2023,110,,,,,
3/26/2023,107,,,,,
3/27/2023,67,,,,,
3/28/2023,85,,,,,
3/29/2023,76,,,,,
3/30/2023,55,,,,,
3/31/2023,79,,,,,
4/1/2023,387,,,,,
4/2/2023,69,,,,,
4/3/2023,153,,,,,
4/4/2023,73,,,,,
4/5/2023,210,,,,,
4/6/2023,78,,,,,
4/7/2023,134,,,,,
4/8/2023,90,,,,,
4/9/2023,54,,,,,
4/10/2023,72,,,,,
4/11/2023,127,,,,,
4/12/2023,104,,,,,
4/13/2023,89,,,,,
4/14/2023,61,,,,,
4/15/2023,63,,,,,
